"date","close","volume","open","high","low"
"2015/07/16","213.5500","4310932.0000","213.1900","213.6100","212.9000"
"2015/07/15","211.8900","3261699.0000","212.0400","212.5800","211.3600"
"2015/07/14","211.9700","4364206.0000","210.9800","212.3400","210.9600"
"2015/07/13","211.0900","3189134.0000","210.2800","211.2000","210.2500"
"2015/07/10","208.7900","4358089.0000","208.6000","209.2499","207.7700"
"2015/07/09","206.1600","4400999.0000","208.3600","208.6300","206.0800"
"2015/07/08","205.7900","5092979.0000","207.7000","208.0500","205.5200"
"2015/07/07","209.3200","5829471.0000","208.2400","209.4600","205.3700"
"2015/07/06","208.0400","4562991.0000","207.0200","208.9400","206.8150"
"2015/07/02","208.5900","2880790.0000","209.3400","209.5700","208.1000"
"2015/07/01","208.8400","4941928.0000","209.0800","209.3200","207.8600"
"2015/06/30","207.2200","4764991.0000","208.5000","208.5145","206.5500"
"2015/06/29","206.7300","5558626.0000","209.3100","210.0820","206.5900"
"2015/06/26","211.1700","3169633.0000","211.5800","211.8400","210.4500"
"2015/06/25","211.1100","2986871.0000","212.4200","212.5300","211.0580"
"2015/06/24","211.7800","2056241.0000","212.9700","213.4500","211.7500"
"2015/06/23","214.4700","3273072.0000","214.6300","214.9100","214.0500"
"2015/06/22","214.3900","3093329.0000","214.4000","215.0700","214.1200"
"2015/06/19","212.8500","3267996.0000","213.9700","214.0199","212.8000"
"2015/06/18","214.1200","3003635.0000","212.7100","214.7600","212.5600"
"2015/06/17","211.9900","2363277.0000","212.0100","212.7210","210.7701"
"2015/06/16","211.7000","4033551.0000","210.3200","211.7500","210.1300"
"2015/06/15","210.5300","2909166.0000","209.9700","210.8500","209.1900"
"2015/06/12","211.4100","4895203.0000","212.0800","212.2300","211.1000"
"2015/06/11","213.0300","3437824.0000","212.9300","213.5000","212.6400"
"2015/06/10","212.3100","3307544.0000","210.9400","212.8200","210.6600"
"2015/06/09","209.8200","2582172.0000","209.9100","210.4700","209.1000"
"2015/06/08","209.8900","2830230.0000","211.0500","211.2000","209.7800"
"2015/06/05","211.1900","2672404.0000","211.3000","211.9803","210.3818"
"2015/06/04","211.6600","2923525.0000","212.4900","213.1900","211.1600"
"2015/06/03","213.3800","3367356.0000","213.3900","214.1000","212.7600"
"2015/06/02","212.7800","2791515.0000","212.4500","213.6000","211.6800"
"2015/06/01","212.9500","3516980.0000","213.3500","213.7699","212.0500"
"2015/05/29","212.5800","3736032.0000","213.8000","213.8600","212.2500"
"2015/05/28","213.8800","2973823.0000","213.7700","214.0300","213.0501"
"2015/05/27","214.1600","2496302.0000","212.7000","214.4200","212.2800"
"2015/05/26","212.1300","3072583.0000","213.8400","213.9399","211.6300"
"2015/05/22","214.4600","1840931.0000","214.4700","214.9800","214.3500"
"2015/05/21","214.9100","1341019.0000","214.1700","215.1800","213.9500"
"2015/05/20","214.2900","1737899.0000","214.5900","215.2300","213.9500"
"2015/05/19","214.5000","1716115.0000","214.7000","215.0001","214.1200"
"2015/05/18","214.5400","3439873.0000","213.7000","214.8600","213.6200"
"2015/05/15","213.9100","3021794.0000","213.8900","214.0300","213.3000"
"2015/05/14","213.6900","2630237.0000","212.7000","213.7500","212.3400"
"2015/05/13","211.4300","2720815.0000","211.9200","212.6400","211.1400"
"2015/05/12","211.3500","3802650.0000","211.0000","212.0400","210.0200"
"2015/05/11","212.0000","4542483.0000","213.0000","213.3000","211.9400"
"2015/05/08","213.0300","5096908.0000","212.2800","213.2800","212.2200"
"2015/05/07","210.2900","5453200.0000","209.3100","210.7600","208.9200"
"2015/05/06","209.4700","3332043.0000","210.9400","211.3300","208.1450"
"2015/05/05","210.3400","2541691.0000","212.4300","212.8500","210.1300"
"2015/05/04","212.8000","1834413.0000","212.6500","213.4200","212.5300"
"2015/05/01","212.1200","2983091.0000","210.8100","212.1900","210.7000"
"2015/04/30","209.8500","3737959.0000","211.3000","211.7600","209.0200"
"2015/04/29","211.9900","3653272.0000","211.7500","212.7099","211.0300"
"2015/04/28","212.8200","4874302.0000","212.1600","212.9200","210.7500"
"2015/04/27","212.2400","2234792.0000","213.7700","213.8800","211.9500"
"2015/04/24","213.0800","1838457.0000","213.0700","213.3900","212.5200"
"2015/04/23","212.6100","3736297.0000","211.5800","213.3700","211.4500"
"2015/04/22","212.0800","2709257.0000","211.4400","212.2600","210.3200"
"2015/04/21","211.0600","2663752.0000","212.1000","212.2600","210.6600"
"2015/04/20","211.2800","2645009.0000","210.4800","211.6500","210.3800"
"2015/04/17","209.3600","4583743.0000","210.3700","210.6200","208.4000"
"2015/04/16","211.8100","3055544.0000","211.4600","212.3800","211.2100"
"2015/04/15","211.9100","2765867.0000","211.4800","212.4500","211.3500"
"2015/04/14","210.8300","2816154.0000","210.2700","211.1100","209.4900"
"2015/04/13","210.4600","1428769.0000","211.3100","212.0300","210.4600"
"2015/04/10","211.4300","1737824.0000","210.5900","211.4900","210.3700"
